species,locus,accession,seq_len,sci_name,ncbi_name,ncbi_taxid,outgroup_status
Adenophorus_oahuensis,rbcL,AY057382,1311,Adenophorus oahuensis (Copel.) L. E. Bishop,Adenophorus oahuensis L.E.Bishop,175343,in
Adenophorus_oahuensis,trnL-trnF,AF469789,281,Adenophorus oahuensis (Copel.) L. E. Bishop,Adenophorus oahuensis L.E.Bishop,175343,in
Adenophorus_periens,atpB,AF469774,1266,Adenophorus periens L. E. Bishop,Adenophorus periens L.E.Bishop,185464,in
Adenophorus_periens,rbcL,AF468199,1311,Adenophorus periens L. E. Bishop,Adenophorus periens L.E.Bishop,185464,in
Adenophorus_periens,trnL-trnF,AF469787,277,Adenophorus periens L. E. Bishop,Adenophorus periens L.E.Bishop,185464,in
Adenophorus_sarmentosus,atpB,AF469777,1266,Adenophorus sarmentosus (Brack.) K. A. Wilson,Adenophorus pinnatifidus Gaudich.,185465,in
Adenophorus_sarmentosus,rbcL,AF468201,1311,Adenophorus sarmentosus (Brack.) K. A. Wilson,Adenophorus pinnatifidus Gaudich.,185465,in
Adenophorus_sarmentosus,trnL-trnF,AF469790,283,Adenophorus sarmentosus (Brack.) K. A. Wilson,Adenophorus pinnatifidus Gaudich.,185465,in
Adenophorus_tamariscinus,atpB,AF469781,1266,Adenophorus tamariscinus var. montanus (Hillebr.) Bishop,Adenophorus montanus (Hillebr.) W.H.Wagner,185463,in
Adenophorus_tamariscinus,rbcL,AF468205,1311,Adenophorus tamariscinus var. montanus (Hillebr.) Bishop,Adenophorus montanus (Hillebr.) W.H.Wagner,185463,in
Adenophorus_tamariscinus,trnL-trnF,AF469794,283,Adenophorus tamariscinus var. montanus (Hillebr.) Bishop,Adenophorus montanus (Hillebr.) W.H.Wagner,185463,in
Adenophorus_tenellus,atpA,EF463820,1506,Adenophorus tenellus (Kaulf.) Ranker,Grammitis tenella Kaulf.,185470,in
Adenophorus_tenellus,atpB,AF469773,1266,Adenophorus tenellus (Kaulf.) Ranker,Grammitis tenella Kaulf.,185470,in
Adenophorus_tenellus,rbcL,AF468198,1311,Adenophorus tenellus (Kaulf.) Ranker,Grammitis tenella Kaulf.,185470,in
Adenophorus_tenellus,trnL-trnF,AF469786,280,Adenophorus tenellus (Kaulf.) Ranker,Grammitis tenella Kaulf.,185470,in
Adenophorus_tripinnatifidus,atpB,AF469783,1266,Adenophorus tripinnatifidus Gaudich.,Adenophorus tripinnatifidus Gaudich.,185467,in
Adenophorus_tripinnatifidus,rbcL,AF468207,1311,Adenophorus tripinnatifidus Gaudich.,Adenophorus tripinnatifidus Gaudich.,185467,in
Adenophorus_tripinnatifidus,trnL-trnF,AF469796,283,Adenophorus tripinnatifidus Gaudich.,Adenophorus tripinnatifidus Gaudich.,185467,in
Adetogramma_chrysolepis,plastome,MW876307,67084,Adetogramma chrysolepis (Hook.) T. E. Almeida,Adetogramma chrysolepis (Hook.) T.E.Almeida,253783,in
Adiantopsis_alata,atpA,KY020082,1752,Adiantopsis alata Prantl,Adiantopsis alata Prantl,2039606,in
Adiantopsis_alata,rbcL,KY020078,1325,Adiantopsis alata Prantl,Adiantopsis alata Prantl,2039606,in
Adiantopsis_aurea,atpA,KY020083,1752,"Adiantopsis aurea Link-Pérez, Seabolt & Ledford","Adiantopsis aurea Link-Perez, Ledford & Seabolt",2039607,in
Adiantopsis_aurea,rbcL,KY020080,885,"Adiantopsis aurea Link-Pérez, Seabolt & Ledford","Adiantopsis aurea Link-Perez, Ledford & Seabolt",2039607,in
Adiantopsis_australopedata,atpA,JN709792,1747,"Adiantopsis ×  australopedata Hickey, M. S. Barker & Ponce","Adiantopsis x australopedata Hickey, M.S.Barker & Ponce",1107920,in
Adiantopsis_australopedata,rbcL,JN709746,1325,"Adiantopsis ×  australopedata Hickey, M. S. Barker & Ponce","Adiantopsis x australopedata Hickey, M.S.Barker & Ponce",1107920,in
Adiantopsis_chlorophylla,atpA,JN709783,1747,Adiantopsis chlorophylla (Sw.) Fée,Adiantopsis chlorophylla (Sw.) Fee,434433,in
Adiantopsis_chlorophylla,rbcL,JN709737,1325,Adiantopsis chlorophylla (Sw.) Fée,Adiantopsis chlorophylla (Sw.) Fee,434433,in
Adiantopsis_dactylifera,atpA,JN709805,1752,Adiantopsis dactylifera Link-Pérez & Hickey,Adiantopsis dactylifera Link-Perez & Hickey,1107918,in
Adiantopsis_dactylifera,rbcL,JN709759,1325,Adiantopsis dactylifera Link-Pérez & Hickey,Adiantopsis dactylifera Link-Perez & Hickey,1107918,in
Adiantopsis_dichotoma,atpA,JN709774,1745,Adiantopsis dichotoma (Cav.) T. Moore,Adiantopsis dichotoma (Cav.) T.Moore,1107919,in
Adiantopsis_dichotoma,rbcL,JN709728,1325,Adiantopsis dichotoma (Cav.) T. Moore,Adiantopsis dichotoma (Cav.) T.Moore,1107919,in
Adiantopsis_flexuosa,atpA,JN709770,1754,Adiantopsis flexuosa (Kunze) Link-Pérez & Hickey,Adiantopsis flexuosa (Kunze) Link-Perez & Hickey,434443,in
Adiantopsis_flexuosa,rbcL,JN709723,1325,Adiantopsis flexuosa (Kunze) Link-Pérez & Hickey,Adiantopsis flexuosa (Kunze) Link-Perez & Hickey,434443,in
Adiantopsis_lindigii,atpA,JN709800,1747,Adiantopsis lindigii (Mett.) Prantl,Adiantopsis lindigii (Mett.) Prantl,1107893,in
Adiantopsis_lindigii,rbcL,JN709754,507,Adiantopsis lindigii (Mett.) Prantl,Adiantopsis lindigii (Mett.) Prantl,1107893,in
Adiantopsis_monticola,atpA,JN709775,1752,Adiantopsis monticola (Gardner) T. Moore,Adiantopsis monticola (Gardner) T.Moore,1107894,in
Adiantopsis_monticola,rbcL,JN709729,1325,Adiantopsis monticola (Gardner) T. Moore,Adiantopsis monticola (Gardner) T.Moore,1107894,in
Adiantopsis_orbignyana,rbcL,MG593080,537,Adiantopsis orbignyana (Mett. ex Kuhn) Ponce & Scataglini,Adiantopsis orbignyana (Kuhn) Ponce & Scataglini,2478359,in
Adiantopsis_parvisegmenta,atpA,JN709796,1421,Adiantopsis parvisegmenta M. S. Barker & Hickey,Adiantopsis parvisegmenta M.S.Barker & Hickey,1107903,in
Adiantopsis_parvisegmenta,rbcL,JN709750,1325,Adiantopsis parvisegmenta M. S. Barker & Hickey,Adiantopsis parvisegmenta M.S.Barker & Hickey,1107903,in
Adiantopsis_paupercula,atpA,JN709811,1752,Adiantopsis paupercula (Kunze) Fée,Adiantopsis paupercula (Kunze) Fee,1107904,in
Adiantopsis_paupercula,rbcL,JN709765,1325,Adiantopsis paupercula (Kunze) Fée,Adiantopsis paupercula (Kunze) Fee,1107904,in
Adiantopsis_pedata,atpA,JN709794,1643,Adiantopsis pedata (Hook.) T. Moore,Adiantopsis pedata (Hook.) T.Moore,1107905,in
Adiantopsis_pedata,rbcL,JN709748,1322,Adiantopsis pedata (Hook.) T. Moore,Adiantopsis pedata (Hook.) T.Moore,1107905,in
Adiantopsis_pentagona,atpA,JN709795,1635,Adiantopsis pentagona M. S. Barker & Hickey,Adiantopsis pentagona M.S.Barker & Hickey,1107906,in
Adiantopsis_pentagona,rbcL,JN709749,1318,Adiantopsis pentagona M. S. Barker & Hickey,Adiantopsis pentagona M.S.Barker & Hickey,1107906,in
Adiantopsis_perfasciculata,atpA,JN709793,987,Adiantopsis perfasciculata Sehnem,Adiantopsis perfasciculata Sehnem,1107907,in
Adiantopsis_perfasciculata,rbcL,JN709747,881,Adiantopsis perfasciculata Sehnem,Adiantopsis perfasciculata Sehnem,1107907,in
Adiantopsis_propinqua,atpA,JN709815,713,Adiantopsis propinqua (Mett.) Prantl,Adiantopsis propinqua (Mett.) Prantl,1107908,in
Adiantopsis_radiata,atpA,EU268718,1688,Adiantopsis radiata (L.) Fée,Adiantopsis radiata (L.) Fee,434434,in
Adiantopsis_radiata,atpB,EF452010,1278,Adiantopsis radiata (L.) Fée,Adiantopsis radiata (L.) Fee,434434,in
Adiantopsis_radiata,rbcL,EF452131,1308,Adiantopsis radiata (L.) Fée,Adiantopsis radiata (L.) Fee,434434,in
Adiantopsis_reesii,atpA,JN709801,730,Adiantopsis reesii (Jenman) C. Chr.,Adiantopsis reesii (Jenman) C.Chr.,1107909,in
Adiantopsis_reesii,rbcL,JN709755,1322,Adiantopsis reesii (Jenman) C. Chr.,Adiantopsis reesii (Jenman) C.Chr.,1107909,in
Adiantopsis_regularis,atpA,JN709772,1754,Adiantopsis regularis (Mett.) T. Moore,Adiantopsis regularis (Kunze) T.Moore,1107910,in
Adiantopsis_regularis,rbcL,JN709726,1325,Adiantopsis regularis (Mett.) T. Moore,Adiantopsis regularis (Kunze) T.Moore,1107910,in
Adiantopsis_rupicola,atpA,JN709799,1744,Adiantopsis rupicola Maxon,Adiantopsis rupicola Maxon,1107911,in
Adiantopsis_rupicola,rbcL,JN709753,1325,Adiantopsis rupicola Maxon,Adiantopsis rupicola Maxon,1107911,in
Adiantopsis_seemannii,atpA,MK632492,1752,Adiantopsis seemannii (Hook.) Maxon,Adiantopsis seemannii (Hook.) Maxon,1107912,in
Adiantopsis_seemannii,rbcL,JN709731,1325,Adiantopsis seemannii (Hook.) Maxon,Adiantopsis seemannii (Hook.) Maxon,1107912,in
Adiantopsis_senae,atpA,KF800705,1750,Adiantopsis senae (Baker) Schuettp. & A. Davila,Adiantopsis senae (Baker) Schuettp. & A.Davila,1520886,in
Adiantopsis_senae,rbcL,KF800703,1309,Adiantopsis senae (Baker) Schuettp. & A. Davila,Adiantopsis senae (Baker) Schuettp. & A.Davila,1520886,in
Adiantopsis_ternata,atpA,JN709802,1750,Adiantopsis ternata Prantl,Adiantopsis ternata Prantl,1107913,in
Adiantopsis_ternata,rbcL,JN709756,1325,Adiantopsis ternata Prantl,Adiantopsis ternata Prantl,1107913,in
Adiantopsis_timida,atpA,JN709803,1752,Adiantopsis timida Link-Pérez & Hickey,Adiantopsis timida Link-Perez & Hickey,1107914,in
Adiantopsis_timida,rbcL,JN709757,1325,Adiantopsis timida Link-Pérez & Hickey,Adiantopsis timida Link-Perez & Hickey,1107914,in
Adiantopsis_trifurcata,atpA,JN709813,1752,Adiantopsis trifurcata (Baker) Link-Pérez & Hickey,Adiantopsis trifurcata (Baker) M.A.Link-Perez & Hickey,1107915,in
Adiantopsis_trifurcata,rbcL,JN709768,1325,Adiantopsis trifurcata (Baker) Link-Pérez & Hickey,Adiantopsis trifurcata (Baker) M.A.Link-Perez & Hickey,1107915,in
Adiantopsis_tweediana,atpA,JN709771,1744,Adiantopsis tweediana (Hook.) Link-Pérez & Hickey,Adiantopsis tweediana (Hook.) Link-Perez & Hickey,1107917,in
Adiantopsis_tweediana,rbcL,JN709725,1325,Adiantopsis tweediana (Hook.) Link-Pérez & Hickey,Adiantopsis tweediana (Hook.) Link-Perez & Hickey,1107917,in
Adiantopsis_tweediana,rps4,MW245820,571,Adiantopsis tweediana (Hook.) Link-Pérez & Hickey,Adiantopsis tweediana (Hook.) Link-Perez & Hickey,1107917,in
Adiantopsis_tweediana,rps4-trnS,MW245820,444,Adiantopsis tweediana (Hook.) Link-Pérez & Hickey,Adiantopsis tweediana (Hook.) Link-Perez & Hickey,1107917,in
Adiantopsis_vincentii,atpA,JN709797,1747,Adiantopsis vincentii M. S. Barker & Hickey,Adiantopsis vincentii M.S.Barker & Hickey,1107916,in
Adiantopsis_vincentii,rbcL,JN709751,1325,Adiantopsis vincentii M. S. Barker & Hickey,Adiantopsis vincentii M.S.Barker & Hickey,1107916,in
Adiantum_abscissum,atpA,MH019315,1506,Adiantum abscissum Schrad.,Adiantum abscissum Schrad.,2420084,in
Adiantum_abscissum,rbcL,MH019532,1309,Adiantum abscissum Schrad.,Adiantum abscissum Schrad.,2420084,in
Adiantum_adiantoides,atpA,MH019316,1506,Adiantum adiantoides (J. Sm.) C. Chr.,Adiantum adiantoides (J.Sm.) C.Chr.,1481294,in
Adiantum_adiantoides,rbcL,MH019533,1309,Adiantum adiantoides (J. Sm.) C. Chr.,Adiantum adiantoides (J.Sm.) C.Chr.,1481294,in
Adiantum_aethiopicum,atpA,JF937305,1707,Adiantum aethiopicum L.,Adiantum aethiopicum L.,450919,in
Adiantum_aethiopicum,atpB,JF935432,1265,Adiantum aethiopicum L.,Adiantum aethiopicum L.,450919,in
Adiantum_aethiopicum,rbcL,JF935350,1273,Adiantum aethiopicum L.,Adiantum aethiopicum L.,450919,in
Adiantum_aethiopicum,rps4,JF980616,571,Adiantum aethiopicum L.,Adiantum aethiopicum L.,450919,in
Adiantum_aethiopicum,rps4-trnS,JF980616,466,Adiantum aethiopicum L.,Adiantum aethiopicum L.,450919,in
Adiantum_aethiopicum,trnL-trnF,JF980695,902,Adiantum aethiopicum L.,Adiantum aethiopicum L.,450919,in
Adiantum_alan-smithii,atpA,KX524416,665,"Adiantum alan-smithii R. Y. Hirai, Sundue & J. Prado","Adiantum alan-smithii R.Y.Hirai, Sundue & J.Prado",1932672,in
Adiantum_alan-smithii,rbcL,KX524212,607,"Adiantum alan-smithii R. Y. Hirai, Sundue & J. Prado","Adiantum alan-smithii R.Y.Hirai, Sundue & J.Prado",1932672,in
Adiantum_alarconianum,atpA,MH019317,1484,Adiantum alarconianum Gaudich.,Adiantum alarconianum Gaudich.,2420085,in
Adiantum_alarconianum,rbcL,MH019534,1292,Adiantum alarconianum Gaudich.,Adiantum alarconianum Gaudich.,2420085,in
Adiantum_aleuticum,plastome,MH173079,67008,Adiantum aleuticum (Rupr.) C. A. Paris,Adiantum aleuticum (Rupr.) C.A.Paris,412743,in
Adiantum_alomae,trnL-trnF,KY934375,822,Adiantum alomae Caluff,Adiantum alomae Caluff,1979433,in
Adiantum_amplum,atpA,JF937311,1726,Adiantum amplum C. Presl,Adiantum princeps T.Moore,1073794,in
Adiantum_amplum,atpB,JF935438,1265,Adiantum amplum C. Presl,Adiantum princeps T.Moore,1073794,in
Adiantum_amplum,rbcL,JF935356,1261,Adiantum amplum C. Presl,Adiantum princeps T.Moore,1073794,in
Adiantum_amplum,rps4,JF980622,571,Adiantum amplum C. Presl,Adiantum princeps T.Moore,1073794,in
Adiantum_amplum,rps4-trnS,JF980622,553,Adiantum amplum C. Presl,Adiantum princeps T.Moore,1073794,in
Adiantum_amplum,trnL-trnF,JF980701,898,Adiantum amplum C. Presl,Adiantum princeps T.Moore,1073794,in
Adiantum_anceps,atpA,MH019320,1506,Adiantum anceps Maxon & Morton,Adiantum anceps Maxon & C.V.Morton,2420087,in
Adiantum_anceps,rbcL,MH019537,1309,Adiantum anceps Maxon & Morton,Adiantum anceps Maxon & C.V.Morton,2420087,in
Adiantum_andicola,atpA,KU147243,1500,Adiantum andicola Liebm.,Adiantum andicola Liebm.,1498948,in
Adiantum_andicola,rbcL,KU147272,1308,Adiantum andicola Liebm.,Adiantum andicola Liebm.,1498948,in
Adiantum_aneitense,atpA,MH019321,1506,Adiantum aneitense Carruth.,Adiantum aneitense Carruth.,2420088,in
Adiantum_aneitense,rbcL,MH019538,1292,Adiantum aneitense Carruth.,Adiantum aneitense Carruth.,2420088,in
Adiantum_argutum,atpA,MH019322,1506,Adiantum argutum Splitg.,Adiantum argutum Splitg.,1481295,in
Adiantum_argutum,atpB,KJ716378,1155,Adiantum argutum Splitg.,Adiantum argutum Splitg.,1481295,in
Adiantum_argutum,rbcL,MH019539,1309,Adiantum argutum Splitg.,Adiantum argutum Splitg.,1481295,in
Adiantum_argutum,rps4,MN781356,531,Adiantum argutum Splitg.,Adiantum argutum Splitg.,1481295,in
Adiantum_argutum,rps4-trnS,MN781356,138,Adiantum argutum Splitg.,Adiantum argutum Splitg.,1481295,in
Adiantum_atroviride,atpA,MH019324,1506,Adiantum atroviride Bostock,Adiantum atroviride Bostock,2420090,in
Adiantum_atroviride,rbcL,MH019541,1309,Adiantum atroviride Bostock,Adiantum atroviride Bostock,2420090,in
Adiantum_braunii,atpA,MH019326,1506,Adiantum braunii Mett. ex Kuhn,Adiantum braunii Mett. ex Kuhn,2420091,in
Adiantum_braunii,rbcL,MH019543,1309,Adiantum braunii Mett. ex Kuhn,Adiantum braunii Mett. ex Kuhn,2420091,in
